"NULL.Name","NULL.Year.","artist","title2","lyrics"
"All The Things You Are Lyrics","2006","Michael-Jackson","All-The-Things-You-Are-Lyrics","You are the promised kiss of springtime
That makes the lonely winter seem long
You are the breathless hush of evening
That trembles on the brink of a lovely song, You are the angel glow that lights a star
The dearest things I know are what you are, Some day my happy arms will hold you
And some day I'll know that moment divine
When all the things you are, are mine, You are the angel glow that lights a star
The dearest things I know are what you are, Some, some, some, some some day my happy arms will hold you
And some day I'll know that moment divine
When all the things you are, are mine, yeah, yeah, All the things you are, are mine
All the things you are, come to mine
Some day my happy arms will hold you
All the things you are, come to mine, All the things you are, come to mine
All the things you are, come to mine
All the things you are, come to mine"
"All the Things You Are, Are Mine Lyrics","2000","Michael-Jackson","All-the-Things-You-Are,-Are-Mine-Lyrics","you are the promise kiss of spring time that makes the lonely winter seem long.
you are the breathless hush of evening that trembles on the brink of a lovely song.
you are the angel glow that lights a star but there is things i know are what you are.
some day my happy arms will hold you and some day i'll know that moment's devine when all the things you are, are mine.
you are the angel glow that lights a star but there is things i know are what you are.
some day my happy arms will hold you and some day i'll know that moment is devine when all the things you are, are mine yeah yeah.
all the things you are, are mine, some day my arms will hold you now.
all the things you are gonna be mine."
"Alright Lyrics","2011","Michael-Jackson","Alright-Lyrics","I love you now
I love you today
Too blind to see you care, ohh no girl
When I'm alone I see you under the world of me
When he dance all night long
I wish you could upon me tonight
Don't be scared all day too me
I'm awalys there....., You are my light
You are my lady of the night (all i say)
Its alright girl...
Ohh yeah, girl...., I'm a very woderful man to you
When we are always together
I wish you are there
When it gets through at times
Sadnes will not survive
I pray for you you to live
I love you today..., You may never get to say there nothing you can do
I know you can make it
Just give it all you got.
Its alright girl....
Ohhh its alright...., We are the ones today
We are the ones (its alright)
Never give up on me...
Its always alright
When you're there
Ohhhhhh...I love you....alright girl."
"An Angel Came To Me Lyrics","2006","Michael-Jackson","An-Angel-Came-To-Me-Lyrics","Produced by Michael Jackson for MJJ Productions (1997)
Co-produced by Babyface for E.C.A.F. Entertainment (1997)
Last night, an angel came to me
I was cryin' alone
My heart was bleeding
Last night, an angel came to me
I was cryin' alone
My mind was dying
God have mercy
Stop them destroying me
An angel came to me
To save my life
Listen to his voice
Please hear his soul
This angel came to me
To save me
Last night, an angel came to me
I was doing wrong (x2)
Last night, an angel came to me
I was sleepin' wrong (x2)
God have mercy
Stop them destroying me
An angel came to me
To forgive me
Listen to his prayers
Please feel his love
This angel came to me
God saved me
An angel came to me
To fulfill his prophecy
He listened to my prayers
Please feel my love
This angel came to me
I recognized him
(X2)
Ad libs :
An angel, baby, did you hear it
(An angel)
I tell you baby, did you hear it
(An an--gel)
I tell you baby, did you hear it
(An angel)
I tell you honey, did you hear it
(An an--gel)
An angel came to me
An an--gel."
"Another Part Of Me Lyrics","1987","Michael-Jackson","Another-Part-Of-Me-Lyrics","We're Takin' Over
We Have The Truth
This Is The Mission
To See It Through, Don't Point Your Finger
Not dangerous
This Is Our Planet, You're One Of Us, We're Sendin' Out
A Major Love
And This Is Our
Message To You
(Message To You)
The Planets Are Linin' Up
We're Bringin' Brighter Days
They're All In Line
Waitin' For You, Can't You See?
You're Just Another Part Of Me, A Rather Nation
Fulfill The Truth
The Final Message
We're Bring To You
There Is No Danger, Fulfill The Truth
So Come Together
We're Mean Is You, We're Sendin' Out
A Major Love
And This Is Our
Message To You
(Message To You)
The Planets Are Linin' Up
We're Bringin' Brighter Days, They're All In Line
Waitin' For You
So Look The Truth
You're Just Another Part Of Me, We're Sendin' Out
A Major Love
And This Is Our
Message To You
(Message To You)
The Planets Are Linin' Up
We're Bringin' Brighter Days, They're All In Line
Waitin' For You
Can't You See?
You're Just Another Part Of Me
Another Part Of Me, We're Takin' Over
This Is The Truth, Baby
Another Part Of Me
(Message To You)
The Planets Are Linin' Up
We're Bringin' Brighter Days
They're All In Line
Waitin' For You
Can't You See?
You're Just Another Part Of Me
Another Part Of Me
We're Takin' Over
This Is The Truth, Baby
Another Part Of Me"
"Another Part Of Me (2012 Remaster) Lyrics","2012","Michael-Jackson","Another-Part-Of-Me-2012-Remaster-Lyrics","We're Takin' Over
We Have The Truth
This Is The Mission
To See It Through
Don't Point You Finger
Not Dangerous
This Is Our Planet
You're One Of Us, We're Sendin' Out
A Major Love
And This Is Our
Message To You
(Message To You)
The Planets Are Linin' Up
We're Bringin' Brighter Days
They're All In Line
Waitin' For You
Can't You See...?
You're Just Another Part Of Me, Out From A Nation
I Feel The Truth
The Final Message
We'll Bring To You
There Is No Danger To Feel The Truth
So Come Again
We Need You, We're Sendin' Out
A Major Love
And This Is Our
Message To You
(Message To You)
The Planets Are Linin' Up
We're Bringin' Brighter Days
They're All In Line
Waitin' For You
Sho' Nuff True
You're Just Another Part Of Me, We're Sendin' Out
A Major Love
And This Is Our
Message To You
(Message To You)
The Planets Are Linin' Up
We're Bringin' Brighter Days
They're All In Line
Waitin' For You
Can't You See...?
You're Just Another Part Of Me, Another Part Of Me, We're Takin' Over
This Is The Truth Baby
Another Part Of Me"
"Baby Be Mine Lyrics","2006","Michael-Jackson","Baby-Be-Mine-Lyrics","I Don't Need No Dreams When I'm By Your Side
...
Every Moment Takes Me To Paradise
...
Darlin', Let Me Hold You
Warm You In My Arms And Melt Your Fears Away
..., Show You All The Magic That A Perfect Love Can
...
Make
I Need You Night And Day
So Baby, Be Mine (Baby You Gotta Be Mine)
..., And Girl I'll Give You All I Got To Give
So Baby, Be My Girl (All The Time)
And We Can Share This Ecstasy
As Long As We Believe In Love
...
...
I Won't Give You Reason To Change Your Mind
...
(I Guess It's Still You Thrill Me, Baby, Be Mine), You Are All The Future That I Desire
...
Girl, I Need To Hold You
Share My Feelings In The Heat Of Love's Embrace
...
Show You All The Passion Burning In My Heart, ...
Today
It's Never Gonna Fade
So Baby, Be Mine (Baby You Gotta Be Mine)
And Girl I'll Give You All I Got To Give, So Baby, Be My Girl (All The Time)
...
You're Everything This World Could Be
The Reason That I Live
Won't You Stay With Me Until The Mornin' Sun
I Promise You Now That The Dawn Will Be
Different
Lady Can't You See That Heaven's Just Begun
It's Livin' Here Inside Our Hearts, ...
There'll Be No More Mountains For Us To Climb
...
(I Can't Be Still You Thrill Me, Baby, Be Mine)
This Will Be A Love Lasting For All Time
..., Girl You Got To Hold Me
We Can Touch The Sky And Light The Darkest
Day
Hold Me, Only You And I Can Make Sweet Love
..., This Way
There's No More I Can Say
So Baby, Be Mine (Baby You Gotta Be Mine)
And Girl I'll Give You All I Got To Give
So Baby, Be My Girl (All The Time)
You're Everything This World Could Be
The Reason That I Live
Baby Be My Girl
And Girl I'll Give You All I Got To Give
So Baby, Be Mine, Baby, Be Mine
...
You're Everything This World Could Be To Me
C'mon, Girl, C'mon Girl
...
So Baby, Be Mine
You're Everything This World Could Be To Me"
"Bad Lyrics","1987","Michael-Jackson","Bad-Lyrics","Your butt is mine
Gonna tell you right
Just show your face
In broad daylight
I'm telling you
On how I feel
Gonna hurt your mind
Don't shoot to kill
Come on, Come on
Lay it on me all right, I'm giving you
On count of three
To show your stuff
Or let it be
I'm telling you
Just watch your mouth
I know your game
What you're about, Well they say the sky's the limit
And to me that's really true
But my friend you have seen nothin'
Just wait 'til I get through, Because I'm bad, I'm bad come on (You know that I'm bad)
You know I'm bad, I'm bad you know it (You know that I'm bad)
You know I'm bad, I'm bad come on, you know
And the whole world has to answer right now
Just to tell you once again
Who's bad, The word is out
You're doin' wrong
Gonna lock you up
Before too long
Your lyin' eyes
Gonna tell you right
So listen up
Don't make a fight
Your talk is cheap
You're not a man
You're throwin' stones
To hide your hands, But they say the sky's the limit
And to me that's really true
And my friends you have seen nothin'
Just wait 'til I get through, Because I'm bad, I'm bad come on (You know that I'm bad)
You know I'm bad, I'm bad you know it (You know that I'm bad)
You know I'm bad, I'm bad you know it, you know
And the whole world has to answer right now
Just to tell you once again
Who's bad, We can change the world tomorrow
This could be a better place
If you don't like what I'm sayin'
Then won't you slap my face, Because I'm bad, I'm bad come on (You know that I'm bad)
You know I'm bad, I'm bad you know it (You know that I'm bad)
You know I'm bad, I'm bad you know it, you know
And the whole world has to answer right now
Just to tell you once again, You know I'm bad, I'm bad come on (You know that I'm bad)
You know I'm bad, I'm bad you know it, you know it
You know that, you know that, you know that, come on
And the whole world has to answer right now
Just to tell you once again, You know I'm smooth, I'm bad, you know it
You know I'm bad, I'm bad baby
You know, you know, you know it come on
And the whole world has to answer right now
Just to tell you once again, You know I'm bad, I'm bad you know it
You know I'm bad, you know it (You know that I'm bad)
You know I'm bad, I'm bad You know it, you know
And the whole world has to answer right now
Just to tell you once again
Who's bad"
"Bad (2012 Remaster) Lyrics","2012","Michael-Jackson","Bad-2012-Remaster-Lyrics","Your butt is mine
Gonna tell you right
Just show your face
In broad daylight
I'm telling you
On how I feel
Gonna hurt your mind
Don't shoot to kill
Come on, Come on
Lay it on me
All right, I'm giving you
On count of three
To show your stuff
Or let it be
I'm telling you
Just watch your mouth
I know your game
What you're about, Well they say the sky's the limit
And to me that's really true
But my friend you have seen nothin'
Just wait 'til I get through, Because I'm bad, I'm bad come on
You know I'm bad, I'm bad come on, you know
You know I'm bad, I'm bad come on, you know
And the whole world has to
Answer right now
Just to tell you once again
Who's bad, The word is out
You're doin' wrong
Gonna lock you up
Before too long
Your lyin' eyes
Gonna tell you right
So listen up
Don't make a fight
Your talk is cheap
You're not a man
You're throwin' stones
To hide your hands, But they say the sky's the limit
And to me that's really true
And my friends you have seen nothin'
Just wait 'til I get through, We can change the world tomorrow
This could be a better place
If you don't like what I'm sayin'
Then won't you slap my face, Who's bad?"
"Beat It Lyrics","1995","Michael-Jackson","Beat-It-Lyrics","They told him don't you ever come around here
Don't wanna see your face, you better disappear
The fire's in their eyes and their words are really clear
So beat it, just beat it, You better run, you better do what you can
Don't wanna see no blood, don't be a macho man
You wanna be tough, better do what you can, So beat it, but you wanna be bad, Just beat it, beat it, beat it, beat it
No one wants to be defeated
Showin' how funky strong is your fight
It doesn't matter who's wrong or right
Just beat it, beat it
Just beat it, beat it, Just beat it, beat it
Just beat it, beat it, They're out to get you, better leave while you can, Don't wanna be a boy, you wanna be a man
You wanna stay alive, better do what you can
So beat it, just beat it, You have to show them that you're really not scared, You're playin' with your life, this ain't no truth or dare
They'll kick you, then they beat you
Then they'll tell you it's fair
So beat it, but you wanna be bad, Just beat it, beat it, beat it, beat it
No one wants to be defeated
Showin' how funky strong is your fight, It doesn't matter who's wrong or right, Just beat it, beat it, beat it, beat it
No one wants to be defeated
Showin' how funky strong is your fight
It doesn't matter who's wrong or right
Just beat it, beat it, beat it, beat it, beat it, Beat it, beat it, beat it, beat it
No one wants to be defeated
Showin' how funky strong is your fight
It doesn't matter who's wrong or right
Just beat it, beat it, beat it, beat it
No one wants to be defeated
Showin' how funky strong is your fight
It doesn't matter who's wrong or who's right
Just beat it, beat it, beat it, beat it
No one wants to be defeated
Showin' how funky strong is your fight
It doesn't matter who's wrong or right
Just beat it, beat it, beat it, beat it
No one wants to be defeated
Showin' how funky strong is your fight
It doesn't matter who's wrong or right
Just beat it, beat it
Beat it, beat it, beat it"
"Beat It (moby's Sub Mix) Lyrics","2008","Michael-Jackson","Beat-It-mobys-Sub-Mix-Lyrics","They told him don't you ever come around here
Don't wanna see your face, you better disappear
The fire's in their eyes and their words are really clear
So beat it, just beat it, You better run, you better do what you can
Don't wanna see no blood, don't be a macho man
You wanna be tough, better do what you can
So beat it, but you wanna be bad, Just beat it, beat it, beat it, beat it
No one wants to be defeated
Showin' how funky strong is your fight
It doesn't matter who's wrong or right
Just beat it, beat it
Just beat it, beat it
Just beat it, beat it
Just beat it, beat it, They're out to get you, better leave while you can
Don't wanna be a boy, you wanna be a man
You wanna stay alive, better do what you can
So beat it, just beat it, You have to show them that you're really not scared
You're playin' with your life, this ain't no truth or dare
They'll kick you, then they beat you,
Then they'll tell you it's fair
So beat it, but you wanna be bad, Just beat it, beat it, beat it, beat it
No one wants to be defeated
Showin' how funky strong is your fight
It doesn't matter who's wrong or right, Just beat it, beat it, beat it, beat it
No one wants to be defeated
Showin' how funky strong is your fight
It doesn't matter who's wrong or right
Just beat it, beat it, beat it, beat it, beat it, Beat it, beat it, beat it, beat it
No one wants to be defeated
Showin' how funky strong is your fight
It doesn't matter who's wrong or right, Just beat it, beat it, beat it, beat it
No one wants to be defeated
Showin' how funky strong is your fight
It doesn't matter who's wrong or who's right
They told him don't you ever come around here
Don't wanna see your face, you better disappear
The fire's in their eyes and their words are really clear
So beat it, just beat it, You better run, you better do what you can
Don't wanna see no blood, don't be a macho man
You wanna be tough, better do what you can
So beat it, but you wanna be bad, Just beat it, beat it, beat it, beat it
No one wants to be defeated
Showin' how funky strong is your fight
It doesn't matter who's wrong or right
Just beat it, beat it
Just beat it, beat it
Just beat it, beat it
Just beat it, beat it, They're out to get you, better leave while you can
Don't wanna be a boy, you wanna be a man
You wanna stay alive, better do what you can
So beat it, just beat it, You have to show them that you're really not scared
You're playin' with your life, this ain't no truth or dare
They'll kick you, then they beat you,
Then they'll tell you it's fair
So beat it, but you wanna be bad, Just beat it, beat it, beat it, beat it
No one wants to be defeated
Showin' how funky strong is your fight
It doesn't matter who's wrong or right, Just beat it, beat it, beat it, beat it
No one wants to be defeated
Showin' how funky strong is your fight
It doesn't matter who's wrong or right
Just beat it, beat it, beat it, beat it, beat it, Beat it, beat it, beat it, beat it
No one wants to be defeated
Showin' how funky strong is your fight
It doesn't matter who's wrong or right, Just beat it, beat it, beat it, beat it
No one wants to be defeated
Showin' how funky strong is your fight
It doesn't matter who's wrong or who's right, Just beat it, beat it, beat it, beat it
No one wants to be defeated
Showin' how funky strong is your fight
It doesn't matter who's wrong or right, Just beat it, beat it, beat it, beat it
No one wants to be defeated
Showin' how funky strong is your fight
It doesn't matter who's wrong or right
Just beat it, beat it
Beat it, beat it, beat it"
